id,signature,count
96,Shot|body_part=Right Foot|outcome=Off T|technique=Normal|type=Open Play,161
97,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Back,159
98,Pass|body_part=Left Foot|height=High Pass|recipient_position=Center Forward,148
99,Pass|height=Low Pass|recipient_position=Left Center Back|type=Throw-in,144
100,Pass|height=Low Pass|recipient_position=Right Center Back|type=Throw-in,144
101,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing,143
102,Shot|body_part=Right Foot|outcome=Saved|technique=Normal|type=Open Play,141
103,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,139
104,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Back,139
105,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Back,137
106,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Wing,133
107,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Wing,133
108,Shot|body_part=Left Foot|outcome=Blocked|technique=Normal|type=Open Play,128
109,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Back|switch=True,127
110,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Attacking Midfield,126
111,Pass|height=High Pass|recipient_position=Center Forward|type=Throw-in,125
112,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Back,124
113,Pass|height=Low Pass|recipient_position=Center Forward|type=Throw-in,124
114,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Midfield,122
115,Goal Keeper|outcome=Success|type=Collected,121
116,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Center Forward,121
117,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|type=Recovery,117
118,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|type=Recovery,116
119,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Center Forward,116
120,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing,111
