id,signature,count
915,Shot|body_part=Right Foot|first_time=True|outcome=Post|technique=Normal|type=Open Play,9
916,Shot|body_part=Right Foot|outcome=Saved|technique=Normal|type=Free Kick,9
917,Foul Committed|card=Yellow Card|offensive=True,8
918,Goal Keeper|body_part=Left Foot|outcome=In Play Danger|position=Set|technique=Standing|type=Shot Saved,8
919,Goal Keeper|body_part=Left Foot|outcome=Touched Out|position=Set|technique=Standing|type=Shot Saved,8
920,Goal Keeper|body_part=Right Foot|outcome=In Play Safe|position=Set|technique=Standing|type=Shot Saved,8
921,Goal Keeper|body_part=Right Foot|outcome=Touched Out|position=Set|technique=Standing|type=Shot Saved,8
922,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Right Midfield|type=Recovery,8
923,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Right Wing|type=Recovery,8
924,Pass|aerial_won=True|height=High Pass|recipient_position=Center Attacking Midfield,8
925,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Midfield,8
926,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Back|type=Recovery,8
927,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Wing Back|type=Recovery,8
928,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Defensive Midfield,8
929,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield|type=Recovery,8
930,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Wing Back|type=Recovery,8
931,Pass|body_part=Head|height=High Pass|outcome=Out,8
932,Pass|body_part=Head|height=High Pass|recipient_position=Center Defensive Midfield,8
933,Pass|body_part=Head|height=High Pass|recipient_position=Left Attacking Midfield|type=Recovery,8
934,Pass|body_part=Head|height=High Pass|recipient_position=Right Wing Back,8
935,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Forward,8
936,Pass|body_part=Head|height=Low Pass|recipient_position=Left Center Back,8
937,Pass|body_part=Head|height=Low Pass|recipient_position=Left Wing|type=Interception,8
938,Pass|body_part=Head|height=Low Pass|recipient_position=Right Center Forward,8
939,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Right Back,8
940,Pass|body_part=Left Foot|cross=True|height=High Pass|recipient_position=Right Back|switch=True,8
941,Pass|body_part=Left Foot|cross=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Forward,8
942,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward|technique=Through Ball|through_ball=True,8
943,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Attacking Midfield,8
944,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Forward|type=Interception,8
945,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Back|type=Interception,8
946,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Center Back|type=Interception,8
947,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|shot_assist=True,8
948,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|switch=True,8
949,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|type=Goal Kick,8
950,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back,8
951,Pass|body_part=Left Foot|height=High Pass|recipient_position=Goalkeeper|type=Recovery,8
952,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Wing|switch=True,8
953,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Wing|type=Recovery,8
954,Pass|body_part=Left Foot|height=Low Pass|outcome=Incomplete|recipient_position=Center Defensive Midfield,8
955,Pass|body_part=Left Foot|height=Low Pass|outcome=Incomplete|recipient_position=Right Back,8
956,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Center Back|type=Recovery,8
957,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Wing|type=Recovery,8
958,Pass|body_part=Other|height=Low Pass|recipient_position=Center Defensive Midfield|type=Recovery,8
959,Pass|body_part=Other|height=Low Pass|recipient_position=Goalkeeper|type=Recovery,8
960,Pass|body_part=Other|height=Low Pass|recipient_position=Left Back,8
961,Pass|body_part=Other|height=Low Pass|recipient_position=Left Back|type=Recovery,8
962,Pass|body_part=Other|height=Low Pass|recipient_position=Left Center Midfield|type=Recovery,8
963,Pass|body_part=Right Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Center Forward,8
964,Pass|body_part=Right Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing,8
965,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,8
966,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Unknown,8
967,Pass|body_part=Right Foot|cross=True|height=Low Pass|recipient_position=Center Forward,8
968,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Back|type=Recovery,8
969,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Recovery,8
970,Pass|body_part=Right Foot|height=Ground Pass|outcome=Out|recipient_position=Right Center Midfield,8
971,Pass|body_part=Right Foot|height=Ground Pass|outcome=Pass Offside|recipient_position=Center Forward|technique=Through Ball|through_ball=True,8
972,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Wing|type=Interception,8
973,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Recovery,8
974,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Wing Back|switch=True,8
975,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Wing|technique=Through Ball|through_ball=True,8
976,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|type=Interception,8
977,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Center Attacking Midfield,8
978,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Left Back|switch=True,8
979,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Center Midfield|type=Recovery,8
980,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Midfield|switch=True,8
981,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Wing|type=Goal Kick,8
982,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Center Midfield|type=Recovery,8
983,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Wing|shot_assist=True,8
984,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Center Forward|type=Recovery,8
985,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Wing Back|type=Recovery,8
986,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Wing|shot_assist=True,8
987,Pass|height=Low Pass|recipient_position=Goalkeeper|type=Throw-in,8
988,Referee Ball-Drop,8
989,Shot|body_part=Head|one_on_one=True|outcome=Off T|technique=Normal|type=Open Play,8
990,Shot|body_part=Head|outcome=Post|technique=Normal|type=Open Play,8
991,Shot|body_part=Left Foot|first_time=True|outcome=Goal|technique=Half Volley|type=Open Play,8
992,Shot|body_part=Left Foot|outcome=Wayward|technique=Normal|type=Open Play,8
993,Foul Committed|advantage=True|card=Yellow Card,7
994,Foul Committed|type=Dangerous Play,7
995,Foul Won|defensive=True|penalty=True,7
996,Goal Keeper|body_part=Chest|outcome=In Play Danger|position=Set|technique=Standing|type=Shot Saved,7
997,Goal Keeper|body_part=Head|outcome=Clear|type=Keeper Sweeper,7
998,Goal Keeper|body_part=Right Foot|outcome=In Play Danger|position=Set|technique=Standing|type=Shot Saved,7
999,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|type=Interception,7
1000,Pass|aerial_won=True|height=High Pass|recipient_position=Left Center Midfield,7
1001,Pass|aerial_won=True|height=High Pass|recipient_position=Right Back|type=Recovery,7
1002,Pass|aerial_won=True|height=High Pass|recipient_position=Right Center Forward,7
1003,Pass|aerial_won=True|height=High Pass|recipient_position=Right Center Forward|type=Recovery,7
1004,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Midfield|type=Recovery,7
1005,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Defensive Midfield,7
1006,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Back,7
1007,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Center Forward|type=Recovery,7
1008,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Midfield|type=Recovery,7
1009,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Back|type=Recovery,7
1010,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Center Midfield,7
1011,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield,7
1012,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield,7
1013,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Midfield,7
1014,Pass|body_part=Head|height=High Pass|outcome=Unknown,7
1015,Pass|body_part=Head|height=High Pass|outcome=Unknown|type=Recovery,7
1016,Pass|body_part=Head|height=High Pass|recipient_position=Center Attacking Midfield|type=Interception,7
1017,Pass|body_part=Head|height=High Pass|recipient_position=Left Wing|type=Interception,7
1018,Pass|body_part=Head|height=High Pass|recipient_position=Right Back,7
1019,Pass|body_part=Head|height=High Pass|recipient_position=Right Midfield|type=Recovery,7
1020,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Midfield,7
1021,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Defensive Midfield|type=Recovery,7
1022,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Wing,7
1023,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Wing|type=Recovery,7
1024,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Forward|type=Recovery,7
1025,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Midfield,7
1026,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Recovery,7
1027,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield|type=Recovery,7
1028,Pass|body_part=Head|height=Low Pass|recipient_position=Center Back|type=Recovery,7
1029,Pass|body_part=Head|height=Low Pass|recipient_position=Center Forward|type=Interception,7
1030,Pass|body_part=Head|height=Low Pass|recipient_position=Goalkeeper|type=Interception,7
1031,Pass|body_part=Head|height=Low Pass|recipient_position=Left Defensive Midfield|type=Interception,7
1032,Pass|body_part=Head|height=Low Pass|recipient_position=Left Midfield,7
1033,Pass|body_part=Head|height=Low Pass|recipient_position=Right Center Midfield|type=Interception,7
1034,Pass|body_part=Head|height=Low Pass|recipient_position=Right Midfield|type=Recovery,7
1035,Pass|body_part=Head|height=Low Pass|recipient_position=Right Wing|type=Interception,7
1036,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Center Defensive Midfield,7
1037,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Right Defensive Midfield,7
1038,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Left Wing Back,7
1039,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Left Back,7
1040,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward,7
1041,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Out|recipient_position=Center Forward|switch=True,7
1042,Pass|body_part=Left Foot|cross=True|height=High Pass|recipient_position=Right Center Back|shot_assist=True,7
1043,Pass|body_part=Left Foot|cross=True|height=High Pass|recipient_position=Right Wing|switch=True,7
1044,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward|type=Recovery,7
1045,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Recovery,7
1046,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Center Midfield|type=Recovery,7
1047,Pass|body_part=Left Foot|height=Ground Pass|outcome=Out|recipient_position=Left Back,7
1048,Pass|body_part=Left Foot|height=Ground Pass|outcome=Out|recipient_position=Right Back,7
1049,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Back|type=Goal Kick,7
1050,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Wing|type=Interception,7
1051,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Back|switch=True,7
1052,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|type=Interception,7
1053,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Recovery,7
1054,Pass|body_part=Left Foot|height=High Pass|outcome=Pass Offside|recipient_position=Left Wing,7
1055,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Wing Back|type=Recovery,7
1056,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Wing|type=Recovery,7
1057,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Center Attacking Midfield|type=Recovery,7
1058,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Back|type=Recovery,7
1059,Pass|body_part=No Touch|height=Ground Pass|no_touch=True|outcome=Incomplete|recipient_position=Center Forward,7
1060,Pass|body_part=Other|height=Low Pass|recipient_position=Center Defensive Midfield,7
1061,Pass|body_part=Other|height=Low Pass|recipient_position=Center Forward,7
1062,Pass|body_part=Other|height=Low Pass|recipient_position=Left Wing Back,7
1063,Pass|body_part=Other|height=Low Pass|recipient_position=Right Defensive Midfield|type=Recovery,7
1064,Pass|body_part=Other|height=Low Pass|recipient_position=Right Wing Back,7
1065,Pass|body_part=Right Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete,7
1066,Pass|body_part=Right Foot|cross=True|cut_back=True|height=Low Pass|outcome=Incomplete,7
1067,Pass|body_part=Right Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Wing,7
1068,Pass|body_part=Right Foot|cross=True|height=Ground Pass|recipient_position=Center Forward,7
1069,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Center Midfield,7
1070,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield,7
1071,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield,7
1072,Pass|body_part=Right Foot|cross=True|height=High Pass|recipient_position=Left Wing Back|switch=True,7
1073,Pass|body_part=Right Foot|cross=True|height=High Pass|recipient_position=Right Wing|shot_assist=True,7
1074,Pass|body_part=Right Foot|cut_back=True|height=Ground Pass|outcome=Incomplete,7
1075,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Center Back,7
1076,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing|technique=Through Ball|through_ball=True,7
1077,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Forward|type=Recovery,7
1078,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|type=Interception,7
1079,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Forward|type=Free Kick,7
1080,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back,7
1081,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Center Forward|type=Goal Kick,7
1082,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield|technique=Through Ball|through_ball=True,7
1083,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|straight=True|switch=True|technique=Straight|type=Corner,7
1084,Pass|body_part=Right Foot|height=High Pass|outcome=Injury Clearance,7
1085,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Right Midfield,7
1086,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Right Wing Back|switch=True,7
1087,Pass|body_part=Right Foot|height=High Pass|outcome=Out|type=Free Kick,7
1088,Pass|body_part=Right Foot|height=High Pass|outcome=Unknown|type=Goal Kick,7
1089,Pass|body_part=Right Foot|height=High Pass|recipient_position=Center Attacking Midfield|switch=True,7
1090,Pass|body_part=Right Foot|height=High Pass|recipient_position=Center Forward|technique=Through Ball|through_ball=True,7
1091,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Center Forward|type=Recovery,7
1092,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Defensive Midfield|type=Recovery,7
1093,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Wing Back|switch=True|type=Free Kick,7
1094,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Center Forward|switch=True,7
1095,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Defensive Midfield|type=Recovery,7
1096,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield|type=Recovery,7
1097,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Defensive Midfield|type=Recovery,7
1098,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Wing|type=Recovery,7
1099,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Recovery,7
1100,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|type=Interception,7
1101,Pass|body_part=Right Foot|height=Low Pass|outcome=Out|recipient_position=Left Back,7
1102,Pass|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield|type=Throw-in,7
1103,Pass|height=High Pass|recipient_position=Left Center Back|type=Throw-in,7
1104,Pass|height=Low Pass|outcome=Injury Clearance|type=Throw-in,7
1105,Shot|body_part=Head|one_on_one=True|outcome=Saved|technique=Normal|type=Open Play,7
1106,Shot|body_part=Left Foot|first_time=True|outcome=Wayward|technique=Normal|type=Open Play,7
1107,Shot|body_part=Right Foot|first_time=True|outcome=Wayward|technique=Normal|type=Open Play,7
1108,Goal Keeper|body_part=Left Hand|outcome=In Play Danger|position=Set|technique=Standing|type=Shot Saved,6
1109,Goal Keeper|body_part=Left Hand|outcome=Touched In|position=Set|technique=Standing|type=Goal Conceded,6
1110,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield|type=Recovery,6
1111,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Left Center Midfield|type=Recovery,6
1112,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield,6
1113,Pass|aerial_won=True|height=High Pass|recipient_position=Left Midfield,6
1114,Pass|aerial_won=True|height=High Pass|recipient_position=Right Center Back|type=Recovery,6
1115,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Recovery,6
1116,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Midfield,6
1117,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Wing|type=Recovery,6
1118,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|type=Interception,6
1119,Pass|aerial_won=True|height=Low Pass|outcome=Out|type=Recovery,6
1120,Pass|aerial_won=True|height=Low Pass|recipient_position=Center Back|type=Recovery,6
1121,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Center Forward,6
1122,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Right Center Forward,6
1123,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Center Attacking Midfield,6
1124,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back|type=Recovery,6
1125,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Wing Back|type=Recovery,6
1126,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Back|type=Recovery,6
1127,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,6
1128,Pass|body_part=Head|height=High Pass|recipient_position=Center Back|type=Recovery,6
1129,Pass|body_part=Head|height=High Pass|recipient_position=Goalkeeper,6
1130,Pass|body_part=Head|height=High Pass|recipient_position=Left Back|type=Interception,6
1131,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,6
1132,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Back,6
1133,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Forward,6
1134,Pass|body_part=Head|height=Low Pass|recipient_position=Left Attacking Midfield|type=Recovery,6
1135,Pass|body_part=Head|height=Low Pass|recipient_position=Left Center Back|type=Interception,6
1136,Pass|body_part=Head|height=Low Pass|recipient_position=Left Wing Back|type=Interception,6
1137,Pass|body_part=Head|height=Low Pass|recipient_position=Right Wing Back,6
1138,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Left Wing Back,6
1139,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|switch=True,6
1140,Pass|body_part=Left Foot|cross=True|height=High Pass|recipient_position=Right Wing|shot_assist=True,6
1141,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing|type=Recovery,6
1142,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Wing|technique=Through Ball|through_ball=True,6
1143,Pass|body_part=Left Foot|height=Ground Pass|outcome=Pass Offside|recipient_position=Center Forward,6
1144,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Back|type=Kick Off,6
1145,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Defensive Midfield|type=Free Kick,6
1146,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Center Midfield|type=Interception,6
1147,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Defensive Midfield|shot_assist=True,6
1148,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Defensive Midfield|type=Interception,6
1149,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Midfield|shot_assist=True,6
1150,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Center Forward|shot_assist=True,6
1151,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|type=Kick Off,6
1152,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Wing|type=Recovery,6
1153,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,6
1154,Pass|body_part=Left Foot|height=High Pass|outcome=Out|recipient_position=Right Wing Back|switch=True,6
1155,Pass|body_part=Left Foot|height=High Pass|outcome=Out|recipient_position=Right Wing|switch=True,6
1156,Pass|body_part=Left Foot|height=High Pass|recipient_position=Center Forward|switch=True,6
1157,Pass|body_part=Left Foot|height=High Pass|recipient_position=Center Forward|type=Goal Kick,6
1158,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Back|type=Recovery,6
1159,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Center Back|type=Recovery,6
1160,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Attacking Midfield,6
1161,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Center Forward|type=Recovery,6
1162,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Left Center Forward|type=Recovery,6
1163,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Center Forward|type=Recovery,6
1164,Pass|body_part=No Touch|height=Ground Pass|no_touch=True|recipient_position=Left Center Back,6
1165,Pass|body_part=No Touch|height=Ground Pass|no_touch=True|recipient_position=Left Center Midfield,6
1166,Pass|body_part=Other|height=Low Pass|recipient_position=Right Back,6
1167,Pass|body_part=Other|height=Low Pass|recipient_position=Right Center Midfield,6
1168,Pass|body_part=Other|height=Low Pass|recipient_position=Right Defensive Midfield,6
1169,Pass|body_part=Right Foot|cross=True|height=Ground Pass|recipient_position=Center Forward|shot_assist=True,6
1170,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Wing|switch=True,6
1171,Pass|body_part=Right Foot|cross=True|height=High Pass|recipient_position=Center Attacking Midfield|shot_assist=True,6
1172,Pass|body_part=Right Foot|cross=True|height=High Pass|recipient_position=Left Wing,6
1173,Pass|body_part=Right Foot|cross=True|height=High Pass|recipient_position=Right Center Forward|shot_assist=True,6
1174,Pass|body_part=Right Foot|deflected=True|height=Ground Pass|recipient_position=Center Forward,6
1175,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Back|type=Recovery,6
1176,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Back|type=Recovery,6
1177,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|switch=True,6
1178,Pass|body_part=Right Foot|height=Ground Pass|outcome=Out|recipient_position=Center Attacking Midfield,6
1179,Pass|body_part=Right Foot|height=Ground Pass|outcome=Out|recipient_position=Left Defensive Midfield,6
1180,Pass|body_part=Right Foot|height=Ground Pass|outcome=Out|recipient_position=Right Midfield,6
1181,Pass|body_part=Right Foot|height=Ground Pass|outcome=Unknown|recipient_position=Right Center Midfield,6
1182,Pass|body_part=Right Foot|height=Ground Pass|outcome=Unknown|recipient_position=Right Wing,6
1183,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Forward|type=Interception,6
1184,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Attacking Midfield|type=Recovery,6
1185,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Back|shot_assist=True,6
1186,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Wing|type=Corner,6
1187,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Attacking Midfield|shot_assist=True,6
1188,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Back|type=Goal Kick,6
1189,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Midfield|switch=True,6
1190,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Wing|shot_assist=True|type=Recovery,6
1191,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|switch=True,6
1192,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back|type=Free Kick,6
1193,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Center Forward|technique=Through Ball|through_ball=True,6
1194,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Wing|type=Goal Kick,6
1195,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Center Forward|switch=True,6
1196,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Left Center Forward,6
1197,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Left Wing Back,6
1198,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Left Wing|switch=True,6
1199,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Right Center Forward,6
1200,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Right Wing|switch=True,6
1201,Pass|body_part=Right Foot|height=High Pass|outcome=Pass Offside|recipient_position=Left Center Forward,6
1202,Pass|body_part=Right Foot|height=High Pass|outcome=Unknown|recipient_position=Right Wing,6
1203,Pass|body_part=Right Foot|height=High Pass|outcome=Unknown|type=Recovery,6
1204,Pass|body_part=Right Foot|height=High Pass|recipient_position=Center Defensive Midfield|type=Recovery,6
1205,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Back|type=Recovery,6
1206,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Center Forward|switch=True,6
1207,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Center Midfield|switch=True,6
